,Reviewer Name,Review Title,Review Paragraph,Star Rating,Review Date
184,Mamta Arya,Happy to own an iPhone,"This is my first iPhone and I am loving it. The sleek body, display, camera, all are perfect. Still learning new features every day. The video shots are so fine that they look​ like shot by professionals.READ MORE",5,"Dec, 2016"
185,Rajas Alshi,Worth every penny....Flipkart rocks,"Waited and waited for the India launch and got it right on the launch-day itself. Delivery and packaging was top-class from Flipkart.Believe me guys, this phone is worth every penny you spend. Flawless performance and clearly an embodiment of how a flagship smartphone should be.READ MORE",5,"Oct, 2016"
186,Nitish Kumar,Not a phone but an Experience !,I ordered this phone on 23rd of March during Electronic Sale here on Flipkart. The phone gives no issues and works like a charm. If you can afford this phone then you should buy it. It won't disappoint you in any department. You buy apple products and forget about worries their support is awesome really you will be impressed by their service.Battery backup on this iphone 7 32  is quiet awesome when I don't use my phone heavily I easily get around 36 hours of battery backup. 24hours + any...READ MORE,5,"Apr, 2017"
187,naveen chandra,Terrific purchase,Pros1) elegant design 2) rose gold is simply superb3) stereo speakers--i must say it's the loudest iPhone i ever used4)call quality 10/105) Signal reception excellent 6) Battery life needs to be tested. Because its only few hours since i am using it. But battery drain is too slow. So i am sure battery life will also be very good.7)Performance wise it's a beast. very much impressed 8) Memory starts now at 32gb!!! Sigh of relief9)water proofing---dint test it  10) Camera 9/10 --- s7 a...READ MORE,5,"Oct, 2016"
188,Naveen kumar,Worth the money,"After 3 years of its launch , it made sense to buy it at 24k for 32gb variant . Experience of an IOS finally. Everything is good and not the best because this a phone released 3years back and good to see the software updates till now. The other iPhones are better than this because they are hardware upgraded and price too:READ MORE",4,"Dec, 2019"
189,Harshit jain,Bought at amazing price!!!!!,The best thing i bought from flipkart!! Thank you so much flipkart for giving me this phone at 38500 after all the discounts:D!! Been using i phone 7 from months nd not a single problem:) love flipkart nd Apple!READ MORE,5,"Sep, 2017"
190,Vikram Kapoor,Awesome Phone & Deal Combination,"Pros:Product Design (4 Stars)Though Apple have really come back with a nice sleek design (by removing the 3.5 jack), the body in its entirety looks sturdy as well.The stereo speakers at the bottom make a superior audio quality, though not that loudShifting from an iPhone 5S, the force technology comes into play and the home button built inside helps, as the same was prone to damage earlierClarity of pictures is enhanced, with the improved retina displayFeatures & Functionalities (5 Sta...READ MORE",5,"Oct, 2016"
191,Abhinav Khanna,Amazing 7 if you Don't own a 6/6S.,"Amazing product. To me the Gold looks much more amazing than Black. Though the phone is quite similar to its predecessor, the camera is better. Won't comment too much on performance as even 6 was great for me and 7 looks amazing to. Haven't utilised it in a way where I can comment on performance but it's pretty smooth to function. The new speakers and much better. If you play music simultaneously on 6S and 7, you won't even hear what's being played on 6S. The lack of 3.5mm jack is noticeable ...READ MORE",5,"Oct, 2016"
192,Mihir Shah,subtle and classy,"the best colour in the iPhone 7 range. jet black is too shiny and scratch magnet, while matt black is just understated yet classy. the phone is quite an improvement especially the main point is water resistant, and image stabiliser. there are many other incremental improvements as well.READ MORE",5,"Oct, 2016"
193,Abhinav Saraswat,Flipkart's Magic,"Reviewing iPhone sounds funny, it's a pure machine boost tour daily business work and all personal needs, I think my DSLR will be store room, camera is awesome. And the best part is Flipkart's same day delivery... It was huge traffic jam in South Delhi but Delivery boy delivered the iPhone, professional and polite. thanks flipkartREAD MORE",5,"Oct, 2016"
194,Aditya Sinha,Simply awesome,"I was bit tensed with reviews of others regarding the fake products being delivered. But for this order, I got a genuine product with everything in place.. The product is good and needs no review as every apple fan knows what a powerful beast iphone 7 is.. I am totally impressed with 7..if u are planning to buy one, go ahead. Don't think twice. It's worth it.READ MORE",5,"May, 2017"
195,Siddharth Sonone,iPhone 7 after the 6,"I owned the iPhone 6 for almost 2 years. Fast forward to May 17,and Flipkart starts the Big Billion Sale,putting this phone at a staggering price of 38500/-It was a deal I just couldn't let go off and hence made the jump to IPhone 7.About the device:1) My iPhone 6 had started to feel sluggish after iOS 10 releases and the 16gb storage was a real pain. This phone is a beast,when it comes to performance,everything just feels butter smooth and swift.2) iPhone 6 has a good display,but the one...READ MORE",4,"May, 2017"
196,Vishal Saxena,Only if you are buying first iPhone,"Well Flipkart service was smooth. Now come to phone. Pros 1. Its iPhone 2. It has apple Logo3. Os is smooth, still confused whether it's hardware can take os update or not.4. Sound is above par.5. Battery life is about 24 hour.6. Rest same as IPhone 6Cons1. I could have bought oneolus5T still left with money in pocket.2. Camera is just average, in the time of dual camera available in 16k , iPhone camera couldn't match quality of portrait mode.3. If you are changing from android to...READ MORE",3,"Dec, 2017"
197,Malatesh Kulkarni,"iPhone7, a number 7 as special as MSDhoni!","I bought this iPhone7, it's my highest buy in Flipkart! I love this smartphone! It's smarter than I expected n I m not facing any difficulties while learning the new techniques in it! I love the sensors, camera n speaker output! It's handy unlike other big screen mobiles! You should ask what's not there in it! N the answer you get is ""nothing""! A five star product!READ MORE",5,"Jun, 2017"
198,Rajat Agarwal,Apple Nails It Again!,"No matter what the people say, iPhone 7 is the best phone you can buy in the market. The 4.7 inch display is beautiful and beats most of the 1080p displays in the market. The battery life has been amazing even though it has been just under 24 hours of use. The major improvement is in the camera. It has been improved significantly and can capture some stunning photos. The absence of a headphone jack doesn't bother me because I am use to using bluetooth headphones and when I need to i can use t...READ MORE",5,"Oct, 2016"
199,Arpit Humane,"Solid phone, build to last","I have been using for over 3 years without a cover or screen guard, dropped it a couple of times but it still works like charm. Battery has deteriorated but that happens to the best.It still gets iOS updates in 2021.I think it'll still outperform many phones in video recording.READ MORE",5,"Feb, 2021"
200,Vishant Bansal,Classy product,"really it is a good product for me , and I'm enjoying with it really got a awesome status symbol. thanks flipkart for giving this mb only in 25000READ MORE",5,"Dec, 2019"
201,Flipkart Customer,Wonderful,Awesome phone I am apple lover I has used Iphone 5S or Iphone 6 Now I am satisfied this Iphone 7 thank u apple and flipkart for giving me best offerREAD MORE,5,"Dec, 2019"
202,amrutha varshini subastri,Best in the market!,good phone as seen in pic above .good camera and all other features are good and value for money as bought in deal and verified with iPhone info website.trusted seller!READ MORE,5,"Dec, 2019"
203,Manish Kandwal,Awesome,I love this device full filled all my requirement and the best part is its looks like a phone not like a tablet very happy with my decisionREAD MORE,5,"Dec, 2019"
204,Flipkart Customer,Must buy!,good quality phone and best handy phone love itREAD MORE,5,"Dec, 2019"
205,Senthilraja Jayaraman,Nice product,"It is light weight, Nice color and excellent finishing.Touch is so smooth and good graphics.Overall its a good phone to buy.READ MORE",4,"Dec, 2019"
206,Sahil Ganotra,Highly recommended,Its Very Good Phone at a affordable price and the  flipkart service of delivery is very fast . Thank you to the bottom of my heartREAD MORE,5,"Nov, 2019"
207,Prasanth Karath,Awesome,iPhone 7 still performs well even at this current trend. it's only 2gb ram and apps are handled effectly . offcource there will be difference between iPhone xr and iPhone 11 but for the price I got it justifies the performance . battery is something which might be an issue for heavy users . but if you are looking for a small phone and usable with one hands and amazing camera capabilities this would be a choice in iOS category  .display is very good being an LCD and brightness sensors perfectl...READ MORE,5,"Nov, 2019"
208,Monis  Faridi,Must buy!,Great service by Flipkart i phone 7 only shows in low price by Flipkart Thank you Mobile working extremely very good I love that !READ MORE,5,"Nov, 2019"
209,Srinjoy Guha,Decent product,"More or less satisfied with overall features of the product. but battery is obnoxious! had to purchase another phone for using various apps. if u even use the apps of daily needs like whatsapp, uber, Ola, banking apps etc, u will need to charge ur battery twice or thrice a day, if used in full fledged manner. camera quality is excellent and detailing of photos is mind-blowing. slim and thin, excellent feeling to hold in hands. overall 3 stars, 2 stars cut due to pathetic battery back up.READ MORE",3,"Nov, 2019"
210,Kundan  Kumar,Classy product,Great phone.. i like it soo much superb camera experience.. battery is better than iphone 6.. got it for Only 25k.. and very fast delivery from flipkart. Satisfy.READ MORE,5,"Nov, 2019"
211,Kiran Babu Sanga,Wonderful,My dream fulfilled. Feeling proud to have this phone. It's like neighbours envy and owner's pride. Very slim. Light weight. Perfect hand fitting. Best camera.READ MORE,5,"Oct, 2019"
212,Flipkart Customer,Wonderful,I just loved the product damm it's too cool and perfect   thank you flipkart for the awesome and fast delivery it worth itREAD MORE,5,"Oct, 2019"
213,AKSHAY JAIN,Worth every penny,"Thanks to All flipkart team, Who all put every single effort to deliver the product.. Good experience and super fast delivery & One thing If you don’t have an Iphone, You actually don’t have an Iphone :smiling_face_with_heart-eyes::face_blowing_a_kiss:READ MORE",5,"Oct, 2019"
214,Flipkart Customer,Best in the market!,"excilent mobile and amazing Prize because market value 30,000/- and me buy the 25,000/- super nice packaging good and exact time delivery and product best quality thank you flipcartREAD MORE",5,"Oct, 2019"
215,Biswadip Dey,Perfect product!,Bought it for wife during BBD. She loves it. Paired it with Spigen Rose gold case and it looks like a million bucks.READ MORE,5,"Oct, 2019"
216,Flipkart Customer,Must buy!,I am happy to grab this phone . thank you flipkart .i love this ph .READ MORE,5,"Oct, 2019"
217,Ashok  Singh,Delightful,Switch to iPhoneThanks for Flipkart service. phone is very nice and cool also is the display was very very cool the sound clarity is excellent and phone is very slim. And the processor is very fast Nice performance in gaming. Compare to other phones this is superb.READ MORE,4,"Oct, 2019"
218,Ritesh Dubey,Super!,Not a bad phone to buy at end of 2019.You don’t get the notch generation features.iOS is zippy & stable nonetheless.Camera is decent enough with accurate colour science nailed only by Apple.Also this is that last selling phone now I guess besides 6s that does not have a glass back.That makes is take a beating.Good as a backup iPhone too5/5 utilitarianPS - Does not have a headphine Jack.But Airpods launched along this generation & we are in 2019.:hundred_points:READ MORE,5,"Oct, 2019"
219,Diganta Si,Worth every penny,"Nothing is more beautiful than an iOS and apple as usual is the epitome of craftsmanship, what can be said more! A beautiful and well-built compact powerful phone.And Flipkart was superb with the product delivery regarding this item, thanks to ekart I got it just one day after I ordered.READ MORE",5,"Oct, 2019"
